,Route,Route Type,Grading,Area Latitude,Area Longitude,State,Gorge,Area,Crag,Subcrag,Description,URL
90,Army Of The Dead,Boulder,V2,39.37632,-74.41817,New Jersey,South,Atlantic City,Tanaka's Bly Tower,N/A,"Sit start at the NE arete, with rubber crimp for your right hand and side pull off the East face for left hand. Once off the ground, climb up the arete on thin feet, then top out over the mini-roof. Stand on top to finish.",https://www.mountainproject.com/route/117864372/army-of-the-dead
91,Falling,Boulder,V0+,40.44063,-75.09975,Pennsylvania,Southeastern Lowlands,Ralph Stover State Park (High Rocks),a. Descent Trail Area,N/A,A roof problem on the detached outcrop at the top of the descent trail.  Pull the roof w/o using cheater blocks.  Often top roped due to the bad landing.,https://www.mountainproject.com/route/106134572/falling
92,Mickeys Mantle,Boulder,V0,40.44047,-75.0994,Pennsylvania,Southeastern Lowlands,Ralph Stover State Park (High Rocks),b. Practice Face,N/A,"Pull the overhang onto an awkward, sloping ledge.",https://www.mountainproject.com/route/106135045/mickeys-mantle
93,Warmup Traverse,Boulder,V0+,40.44047,-75.0994,Pennsylvania,Southeastern Lowlands,Ralph Stover State Park (High Rocks),b. Practice Face,N/A,Begin at the Practice Chimney and climb down and right below an overhanging bulge.  Continue right just above the ground until you reach the grungy section at the Weeping Wall.,https://www.mountainproject.com/route/106135040/warmup-traverse
94,Crank N Up,Boulder,V0+,40.44047,-75.0994,Pennsylvania,Southeastern Lowlands,Ralph Stover State Park (High Rocks),b. Practice Face,N/A,Reach up for the jug and climb the arete for 5 feet to a stance.  Escape left.  Use only the overhanging arete for feet.,https://www.mountainproject.com/route/106135034/crank-n-up
95,Bootwear,Boulder,V4,40.44066,-75.09934,Pennsylvania,Southeastern Lowlands,Ralph Stover State Park (High Rocks),c. Neolithic Wall,N/A,Climb the blank face betwen two cracks to a small ledge at 13 feet.The cracks and adjacent holds are off route.,https://www.mountainproject.com/route/106135081/bootwear
96,Weaker,Boulder,V0-1,40.48079,-75.22346,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,"An enjoyable easy route, a good warmup for the harder routes in the area. Sit start on a left sloping edge and move directly up right of the arete created with the alcove. Some fun movements that will loosen the joints. Assume the alcove and the crack above it are off.",https://www.mountainproject.com/route/120104681/weaker
97,Meeker V5 Variation,Boulder,V5,40.48079,-75.22346,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,Start sitting on the boulder.  Squeeze the overhanging prow to the top.,https://www.mountainproject.com/route/108410251/meeker-v5-variation
98,Meeker Sds,Boulder,V8-9,40.48079,-75.22346,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,Sit down start as low as possible.  Squeeze the overhanging prow to the top.,https://www.mountainproject.com/route/108410236/meeker-sds
99,V2 By Meeker,Boulder,V2,40.48042,-75.22327,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,Climb the face to the slopey top out up and left.,https://www.mountainproject.com/route/108410217/v2-by-meeker
100,Bypass,Boulder,V0,40.48054,-75.2236,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,"Looking directly atPatoggan Run, start in the rounded dihedral near the left arete with a good edge on the arete. Smear up into the dihedral and traverse right to joinPattogan Run.",https://www.mountainproject.com/route/116167312/bypass
101,Paddle Prow,Boulder,V2,40.48054,-75.2236,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,"Climb the blunt, slabby arete to the right of the V6 slab.",https://www.mountainproject.com/route/108410294/paddle-prow
102,Patoggan Run,Boulder,V4,40.48054,-75.2236,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,Climb the steep slab.,https://www.mountainproject.com/route/108410279/patoggan-run
103,Escalator Traverse,Boulder,V6,40.48054,-75.2236,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Meeker Area,"If you are looking directly atPatoggan Run, it's the right side of the boulder.Start on the left side of the face with a good low foothold, just right of a dead tree stalk. Traverse right along the face with good footholds in the low crack. Link intoPaddle Prowat the right arete.",https://www.mountainproject.com/route/116166999/escalator-traverse
104,Bubblegum Face,Boulder,V0+,40.48211,-75.22378,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Bubblegum,"The standard warmup problem for the area, start on two sidepulls and follow big holds to the finish.",https://www.mountainproject.com/route/107478422/bubblegum-face
105,Bubblegum Face Sit,Boulder,V1,40.48211,-75.22378,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Bubblegum,Start on low undercling with a good left foot and move up into Bubblegum Face,https://www.mountainproject.com/route/111073360/bubblegum-face-sit
106,Bubblegum Variation,Boulder,V3,40.48211,-75.22378,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Bubblegum,Same SDS as Bubblegum. Go to first good horizontal and straight up from there to a crimp and then huge jug. Top out.,https://www.mountainproject.com/route/111151375/bubblegum-variation
107,Bubblegum,Boulder,V3,40.48211,-75.22378,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Bubblegum,"Start on two jugs down low and work left to a good horizontal then up to a diagonal crimp, move right to a gaston (easier) or bring the right hand up to a good jug and top out.",https://www.mountainproject.com/route/107478393/bubblegum
108,Cave Crack,Boulder,V5,40.48211,-75.22378,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Bubblegum,Climb out the cave left of Bubblegum.  Strenuous topout with high dab potential.,https://www.mountainproject.com/route/109881312/cave-crack
109,Line Graph Traverse,Boulder,V2-,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,Start on jug and traverse right across boulder on good crimp rail with a few small feet,https://www.mountainproject.com/route/111168948/line-graph-traverse
110,Happy Cow,Boulder,V2,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,"Start on a jug on the right of the boulder and traverse left on the lip using small edges, turn the corner of the boulder and top out.",https://www.mountainproject.com/route/107478412/happy-cow
111,Shredder,Boulder,V3,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,Climb the overhanging crack to the juggy rail then over the top of the overhang.,https://www.mountainproject.com/route/109646172/shredder
112,Gumball,Boulder,V4,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,"Sit down start on a good sidepull and sloping hold.  Move up to a small crimp in the middle of the face and to a weird pocket/shallow sidepull.  Make a big move up to a good edge, and then to a pinch and top out.",https://www.mountainproject.com/route/107872120/gumball
113,Before The Forum,Boulder,V4,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,"Climbs the prow. Start down in the pit, slightly around the corner on a horizontal crack. Trend leftwards out around the prow then straight up.",https://www.mountainproject.com/route/109509310/before-the-forum
114,Bovine,Boulder,V6,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,Between Gumball (L) and Black Angus (R). Use left arete and the seam of Black Angus. WIDE arms.,https://www.mountainproject.com/route/109824067/bovine
115,In The Face Of Danger,Boulder,V7,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,"This climb is prominent, inspiring, and a little bit dicey, with great moves!To start it, step off the big platform onto the start holds (low left hand slopey sidepull, right hand incut but small crimp) above a very dangerous gap in the platform. Climb up through a small horn and a gaston to a jug near the tree, then a fairly moderate topout.Important: have an attentive spotter ready to push you *away* from the boulder onto the pads, to avoid the pit (maybe throw a pad down in the pit anyway in case you slide down). I felt fairly safe on it because you are pushing away from the pit to move upward, but the feet are very bad so a slip is possible.",https://www.mountainproject.com/route/119599427/in-the-face-of-danger
116,Black Angus,Boulder,V9,40.48176,-75.224,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Black Angus Area,"SDS with a large sidepull. Climb up past a gaston, a pinch, a two finger slot, and finally the thin seam on the slab.",https://www.mountainproject.com/route/107943079/black-angus
117,Savage Hand Orgy,Boulder,V3,40.48176,-75.22382,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Savage Hand Orgy,Fun sit-down-start and make a huge move or dyno to an obvious sloper and top out above,https://www.mountainproject.com/route/108003579/savage-hand-orgy
118,Unnamed V0,Boulder,V0,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,Start at the right side of the face and traverse the lip.  Top out around the left arete.,https://www.mountainproject.com/route/108410129/unnamed-v0
119,Dromedary,Boulder,V0,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,Start with incut holds on the left. Climb the sloping lip. Great warm up!Beta Video,https://www.mountainproject.com/route/120460134/dromedary
120,Duck Dive,Boulder,V0+,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,Climb the right side of the slab.,https://www.mountainproject.com/route/108410024/duck-dive
121,Noodled,Boulder,V1,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,"Start on edges, move up and right to a long crimp rail then up to a good U-shaped hold one foot below the lip.",https://www.mountainproject.com/route/108410112/noodled
122,Swan Dive,Boulder,V2,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,"Start on small edges and stemming in a subtle corner, move up on small edges and top out.",https://www.mountainproject.com/route/107478405/swan-dive
123,Uncle Muscles Power Hour,Boulder,V3,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,"Start at the big footholds, move up to opposing sidepulls and make a big move for the top.",https://www.mountainproject.com/route/108410080/uncle-muscles-power-hour
124,Tsunami,Boulder,V4,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,Crimpy face to the right of Over the Falls,https://www.mountainproject.com/route/109050438/tsunami
125,Over The Falls,Boulder,V9,40.48159,-75.22408,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Over the Falls Area,Not sure of the exact details... climbed this problem while on a trip to Haycock. Great arete problem if I recall correctly.,https://www.mountainproject.com/route/107399291/over-the-falls
126,Unnamed V1 Little Roof,Boulder,V2,40.48213,-75.22512,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Of Mice and Men Area,"Short and easy roof climb. Get as low as you can to SDS on good sidepulls/underclings, then fire out, up , and over on jugs. Not much to it, but it is one of the few easy roof climbs (nearly horizontal) to be found at Haycock.",https://www.mountainproject.com/route/107573254/unnamed-v1-little-roof
127,Unnamed V2,Boulder,V2,40.48213,-75.22512,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Of Mice and Men Area,"Sit down start on the right side of a fairly large boulder, with a rail and the prow for hands. Move up to a good jug, then continue trending left up the arete to top out.",https://www.mountainproject.com/route/107573263/unnamed-v2
128,The Moon Is Down Stand,Boulder,V4,40.48213,-75.22512,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Hangar 18,Of Mice and Men Area,Start on underclings and move up left to a series of good sidepulls.,https://www.mountainproject.com/route/111749433/the-moon-is-down-stand
